Sneaky,Matt Demon,AD Carry,Cloud9 ,539.05,29.95,44,187,72,268,"13,489",7,2 / 3 / 2
Jensen,Hikari no Saberu,Mid,Cloud9 ,509.64,28.31,44,207,90,222,"15,303",10,5 / 3 / 1
WildTurtle,Uraziel1,AD Carry,Immortals,503.47,27.97,43,192,94,245,"12,173",8,5 / 0 / 1
Pobelter,SkyPhoenix9316,Mid,Immortals,484.34,26.91,43,173,98,308,"12,039",8,5 / 0 / 0
Reignover,CheesePuppy,Jungler,Immortals,484.22,26.90,43,110,89,380,"6,411",16,1 / 0 / 0
Doublelift,CheesePuppy,AD Carry,TSM,475.13,26.40,41,193,71,236,"11,472",5,5 / 0 / 1
Zven,Matt Demon,AD Carry,G2 Esports,464.66,25.81,36,135,52,221,"12,635",7,3 / 1 / 0
Bjergsen,SkyPhoenix9316,Mid,TSM,464.26,25.79,41,166,62,275,"11,575",7,4 / 0 / 0
Rekkles,SkyPhoenix9316,AD Carry,Fnatic,463.40,25.74,36,133,70,212,"13,088",8,2 / 2 / 0
Ray,Uraziel1,Top,Apex,451.46,25.08,46,158,147,254,"13,297",11,6 / 0 / 0
Trick,Matt Demon,Jungler,G2 Esports,445.50,24.75,36,110,57,277,"5,696",11,1 / 0 / 0
Keane,UT Reformed Me,Mid,Apex,439.37,24.41,46,166,91,244,"15,205",8,1 / 0 / 0
Huni,UT Reformed Me,Top,Immortals,436.73,24.26,43,167,147,266,"10,610",10,2 / 0 / 0
Kobbe,,AD Carry,Splyce,436.60,24.26,36,132,67,200,"11,729",5,6 / 3 / 0
Adrian,UT Reformed Me,Support,Immortals,430.73,23.93,43,24,83,458,797,23,0 / 0 / 0
Fenix,CheesePuppy,Mid,Liquid,422.76,23.49,43,166,92,210,"13,262",6,4 / 0 / 0
Steeelback,GreysAnatomy Fan,AD Carry,ROCCAT,419.25,23.29,36,136,67,166,"12,280",4,3 / 2 / 0
Sencux,,Mid,Splyce,418.33,23.24,36,143,70,181,"10,823",4,5 / 1 / 0
Meteos,Hikari no Saberu,Jungler,Cloud9 ,415.03,23.06,44,90,63,329,"6,537",15,2 / 0 / 0
Spirit,21Virtuoso,Jungler,Fnatic,412.03,22.89,36,105,71,231,"6,001",13,1 / 0 / 0
LOD,SkyPhoenix9316,AD Carry,Team Envy,411.04,22.84,42,159,75,200,"13,742",4,2 / 0 / 0
Biofrost,CheesePuppy,Support,TSM,410.51,22.81,41,27,55,431,"1,024",25,0 / 0 / 0
Perkz,21Virtuoso,Mid,G2 Esports,410.01,22.78,36,128,75,198,"11,518",6,2 / 1 / 0
Trashy,SkyPhoenix9316,Jungler,Splyce,407.31,22.63,36,72,58,289,"5,155",13,1 / 0 / 0
Apollo,UT Reformed Me,AD Carry,Apex,407.22,22.62,46,119,95,272,"12,780",7,0 / 1 / 0
SONSTAR,GreysAnatomy Fan,AD Carry,Giants,405.35,22.52,36,130,66,191,"10,873",5,2 / 0 / 1
Febiven,GreysAnatomy Fan,Mid,Fnatic,401.51,22.31,36,123,72,179,"11,686",7,1 / 0 / 0
Huhi,Matt Demon,Mid,Counter Logic Gaming,400.67,22.26,46,147,118,225,"13,320",6,4 / 0 / 0
Jankos,GreysAnatomy Fan,Jungler,H2K,400.09,22.23,36,103,74,238,"5,093",7,1 / 1 / 0
MrRalleZ,Hikari no Saberu,AD Carry,FC Schalke 04,393.70,21.87,36,119,58,174,"11,533",2,5 / 0 / 0
Night,,Mid,Giants,391.58,21.75,36,118,84,196,"11,286",4,5 / 1 / 0
Hauntzer,Matt Demon,Top,TSM,390.22,21.68,41,122,89,252,"9,899",6,2 / 0 / 0
Fox,21Virtuoso,Mid,FC Schalke 04,389.90,21.66,36,131,76,162,"11,653",3,3 / 1 / 0
mithy,Matt Demon,Support,G2 Esports,383.82,21.32,36,26,63,347,"1,219",18,0 / 0 / 0
Xmithie,SkyPhoenix9316,Jungler,Counter Logic Gaming,382.44,21.25,46,96,105,315,"6,493",10,0 / 0 / 0
Impact,SkyPhoenix9316,Top,Cloud9 ,379.78,21.10,44,102,98,285,"10,950",8,0 / 0 / 0
Veritas,,AD Carry,Unicorns of Love,379.22,21.07,36,109,73,178,"10,837",4,3 / 1 / 0
ShrimP,,Jungler,Apex,379.03,21.06,46,97,131,301,"7,402",10,1 / 0 / 0
Ohq,,AD Carry,NRG Esports,378.00,21.00,43,123,93,174,"12,693",4,3 / 0 / 0
Svenskeren,Uraziel1,Jungler,TSM,374.59,20.81,41,97,84,302,"5,407",8,0 / 0 / 0
Santorin,,Jungler,NRG Esports,374.09,20.78,43,80,66,263,"6,572",9,0 / 0 / 0
Dardoch,21Virtuoso,Jungler,Liquid,371.96,21.88,40,128,107,247,"5,999",12,2 / 0 / 0
Expect,UT Reformed Me,Top,G2 Esports,370.16,24.68,29,90,62,194,"7,409",5,0 / 0 / 1
Ninja,Uraziel1,Mid,Team Envy,366.47,20.36,42,110,119,223,"13,437",4,1 / 0 / 0
Xpecial,SkyPhoenix9316,Support,Apex,365.98,20.33,46,23,127,397,"1,915",17,0 / 0 / 0
Ryu,CheesePuppy,Mid,H2K,364.39,20.24,36,116,78,175,"10,402",2,1 / 1 / 0
