Doublelift,CheesePuppy,AD Carry,Counter Logic Gaming,505.40,28.08,18,111,0,126,"6,040",8,4 / 0 / 1
Apollo,The Fye,AD Carry,Team Impulse,489.49,27.19,18,90,0,155,"5,499",9,2 / 0 / 0
Rush,LeIBron,Jungler,Team Impulse,462.00,25.67,18,68,0,184,"2,300",10,1 / 1 / 0
Piglet,OG5 Ablaze,AD Carry,Team Liquid,457.90,25.44,18,93,0,122,"6,390",7,3 / 1 / 0
Rekkles,ChrisL,AD Carry,Fnatic,450.33,25.02,18,99,0,125,"5,683",3,1 / 0 / 0
Impact,The Fye,Top,Team Impulse,442.47,24.58,18,66,0,167,"4,197",9,0 / 0 / 0
FeniX,PWG Pups,Mid,Team Liquid,438.89,24.38,18,85,0,124,"6,389",4,3 / 1 / 0
Febiven,Boomdude111,Mid,Fnatic,438.56,24.36,18,90,0,120,"5,956",5,2 / 1 / 0
Huni,UT Reformed Me,Top,Fnatic,433.20,24.07,18,88,0,131,"5,070",5,0 / 0 / 0
Hjarnan,Boomdude111,AD Carry,H2K,424.07,23.56,18,95,0,104,"5,707",4,4 / 1 / 0
Niels,ChrisL,AD Carry,ORIGEN,421.31,23.41,18,95,0,110,"5,631",4,1 / 0 / 0
Quas,LeIBron,Top,Team Liquid,407.74,22.65,18,62,0,150,"4,274",7,1 / 0 / 0
Bjergsen,CheesePuppy,Mid,Team SoloMid,406.90,22.61,18,107,0,78,"6,590",4,1 / 0 / 0
YellOwStaR,PWG Pups,Support,Fnatic,405.66,22.54,18,11,0,234,666,13,0 / 0 / 0
Adrian,The Fye,Support,Team Impulse,405.49,23.85,17,16,0,228,549,13,0 / 0 / 0
Altec,PWG Pups,AD Carry,Gravity,399.70,22.21,18,87,0,101,"6,820",0,3 / 0 / 0
Pobelter,UT Reformed Me,Mid,Counter Logic Gaming,393.80,21.88,18,70,0,125,"5,230",6,1 / 0 / 0
Ryu,LeIBron,Mid,H2K,393.51,21.86,18,85,0,100,"5,451",4,3 / 1 / 0
Aphromoo,The Fye,Support,Counter Logic Gaming,392.75,21.82,18,19,0,217,525,12,0 / 0 / 0
IWDominate,PWG Pups,Jungler,Team Liquid,390.02,21.67,18,35,0,182,"2,302",11,1 / 0 / 0
Hauntzer,ChrisL,Top,Gravity,389.52,21.64,18,72,0,124,"4,752",5,1 / 0 / 0
Zion Spartan,PWG Pups,Top,Counter Logic Gaming,388.94,21.61,18,71,0,126,"4,194",8,0 / 0 / 0
xPeke,PWG Pups,Mid,ORIGEN,383.76,21.32,18,79,0,106,"5,876",4,0 / 0 / 0
XiaoWeiXiao,CheesePuppy,Mid,Team Impulse,381.58,23.85,16,63,0,126,"5,458",5,1 / 0 / 0
Reignover,CheesePuppy,Jungler,Fnatic,374.70,20.82,18,44,0,166,"2,370",7,0 / 0 / 0
Keane,The Fye,Mid,Gravity,373.57,20.75,18,55,0,130,"5,457",5,2 / 0 / 0
Xpecial,OG5 Ablaze,Support,Team Liquid,368.13,20.45,18,13,0,210,513,11,0 / 0 / 0
SoaZ,,Top,ORIGEN,364.44,20.25,18,57,0,132,"4,244",5,0 / 0 / 0
Fox,OG5 Ablaze,Mid,SK Gaming,364.24,20.24,18,91,0,77,"5,374",2,2 / 1 / 0
Sneaky,UT Reformed Me,AD Carry,Cloud9 ,363.53,20.20,18,73,0,92,"5,753",3,3 / 2 / 0
Nukeduck,ChrisL,Mid,ROCCAT,360.88,20.05,18,65,0,105,"6,038",4,0 / 1 / 0
CoreJJ,LeIBron,AD Carry,Team Dignitas,359.90,19.99,18,65,0,111,"5,340",3,2 / 0 / 0
Adryh,UT Reformed Me,AD Carry,GIANTS GAMING,359.35,19.96,18,75,0,89,"5,285",4,5 / 1 / 0
Xmithie,CheesePuppy,Jungler,Counter Logic Gaming,355.28,19.74,18,30,0,171,"2,278",8,0 / 0 / 0
Odoamne,ChrisL,Top,H2K,354.82,19.71,18,60,0,125,"4,132",3,0 / 0 / 0
kaSing,OG5 Ablaze,Support,H2K,354.70,19.71,18,24,0,189,520,9,0 / 0 / 0
Amazing,Boomdude111,Jungler,ORIGEN,353.09,19.62,18,43,0,156,"2,109",6,0 / 0 / 0
CandyPanda,The Fye,AD Carry,SK Gaming,349.30,19.41,18,70,0,95,"5,880",3,1 / 0 / 0
PowerOfEvil,The Fye,Mid,Unicorns Of Love,347.77,19.32,18,71,0,91,"5,327",3,0 / 0 / 1
PepiiNeRO,UT Reformed Me,Mid,GIANTS GAMING,343.10,19.06,18,73,0,83,"6,460",2,2 / 0 / 0
