Split,Week,Player,Position,Team,Opponent,Result,Points,TeamPoints
1.0,1.0,JANKOS,Jungler,ROC,H2K,0.0,7.14,3.0
1.0,1.0,DOUBLELIFT,AD Carry,CLG,TIP,1.0,46.03,17.0
1.0,1.0,RUSH,Jungler,TIP,CLG,0.0,9.05,9.0
1.0,1.0,REKKLES,AD Carry,FNC, SK,1.0,39.35,19.0
1.0,1.0,FENIX,Mid,TL , T8,1.0,36.55,19.0
1.0,1.0,HUNI,Top,FNC, SK,1.0,15.29,19.0
1.0,1.0,ZVEN,AD Carry,OG ,H2K,1.0,28.33,21.0
1.0,1.0,BJERGSEN,Mid,TSM,NME,1.0,24.0,16.0
1.0,1.0,ADRIAN,Support,TIP,CLG,0.0,14.37,9.0
1.0,1.0,POBELTER,Mid,CLG,TIP,1.0,38.02,17.0
1.0,1.0,APHROMOO,Support,CLG,TIP,1.0,40.89,17.0
1.0,1.0,HAUNTZER,Top,GV ,TDK,1.0,25.66,16.0
1.0,1.0,XPEKE,Mid,OG ,H2K,1.0,21.37,21.0
1.0,1.0,KEANE,Mid,GV ,TDK,1.0,16.8,16.0
1.0,1.0,SOAZ,Top,OG ,H2K,1.0,23.09,21.0
1.0,1.0,SNEAKY,AD Carry,C9 ,DIG,0.0,9.26,0.0
1.0,1.0,COREJJ,AD Carry,DIG, C9,1.0,23.25,23.0
1.0,1.0,XMITHIE,Jungler,CLG,TIP,1.0,36.45,17.0
1.0,1.0,KASING,Support,H2K, OG,0.0,6.55,2.0
1.0,1.0,CANDYPANDA,AD Carry,SK ,FNC,0.0,25.6,12.0
1.0,1.0,PEPIINERO,Mid,GIA, CW,1.0,24.32,17.0
1.0,1.0,SANTORIN,Jungler,TSM,NME,1.0,20.6,16.0
1.0,1.0,GAMSU,Top,DIG, C9,1.0,12.41,23.0
1.0,1.0,MOVE,Jungler,GV ,TDK,1.0,22.92,16.0
1.0,1.0,STEVE,Top,ROC,GMB,1.0,29.29,22.0
1.0,1.0,FROGGEN,Mid,EL ,UOL,0.0,9.01,6.0
1.0,1.0,JENSEN,Mid,C9 ,TSM,1.0,26.86,14.0
1.0,1.0,DYRUS,Top,TSM, C9,0.0,14.11,12.0
1.0,1.0,LATTMAN,AD Carry,TDK, GV,0.0,16.95,9.0
1.0,1.0,WOOLITE,AD Carry,ROC,GMB,1.0,25.89,22.0
1.0,1.0,YOUNGBUCK,Top,CW ,GIA,0.0,28.43,6.0
1.0,1.0,PROMISQ,Support,EL ,UOL,0.0,6.28,6.0
1.0,1.0,AIRWAKS,Jungler,CW ,GIA,0.0,25.22,6.0
1.0,1.0,BISCHU,Mid,TDK, TL,0.0,15.86,6.0
1.0,1.0,AZINGY,Jungler,DIG,CLG,0.0,6.48,1.0
1.0,1.0,SERAPH,Top,TDK, TL,0.0,17.01,6.0
1.0,1.0,FREDY122,Top,SK , CW,0.0,4.06,4.0
1.0,1.0,PORPOISE8,Jungler,T8 ,TIP,0.0,10.37,3.0
1.0,1.0,OTTER,AD Carry,NME, GV,1.0,39.29,13.0
1.0,1.0,VANDER,Support,ROC,H2K,0.0,6.35,3.0
1.0,1.0,CALITRLOLZ8,Top,T8 ,TIP,0.0,10.02,3.0
1.0,1.0,FR3DERIC,Jungler,GIA, OG,0.0,10.58,5.0
1.0,1.0,G0DFRED,Support,GIA, OG,0.0,9.32,5.0
