Split,Week,Player,Position,Team,Opponent,Result,Points,Team_Points,Team_ELO,Opp_ELO,ELO_Diff,Probability,Region,GameTime
7,55,APHROMOO,Support,100,CLG,0,0.65,4,1098.24,1027.81,70.4296875,0.5999905831421306,NA,1785
7,55,APHROMOO,Support,100,TL ,0,7.03,2,1098.24,1019.59,78.65557861328125,0.6112995028704754,NA,1800
7,55,CODY SUN,AD Carry,100,TL ,0,11.8,2,1098.24,1019.59,78.65557861328125,0.6112995028704754,NA,1800
7,55,CODY SUN,AD Carry,100,CLG,0,4.44,4,1098.24,1027.81,70.4296875,0.5999905831421306,NA,1785
7,55,METEOS,Jungler,100,TL ,0,9.85,2,1098.24,1019.59,78.65557861328125,0.6112995028704754,NA,1800
7,55,METEOS,Jungler,100,CLG,0,1.1,4,1098.24,1027.81,70.4296875,0.5999905831421306,NA,1785
7,55,RYU,Mid,100,TL ,0,12.24,2,1098.24,1019.59,78.65557861328125,0.6112995028704754,NA,1800
7,55,RYU,Mid,100,CLG,0,1.25,4,1098.24,1027.81,70.4296875,0.5999905831421306,NA,1785
7,55,SSUMDAY,Top,100,CLG,0,1.69,4,1098.24,1027.81,70.4296875,0.5999905831421306,NA,1785
7,55,SSUMDAY,Top,100,TL ,0,8.17,2,1098.24,1019.59,78.65557861328125,0.6112995028704754,NA,1800
7,55,GOLDENGLUE,Mid,C9 ,OPT,1,14.45,16,1111.37,930.178,181.19537353515625,0.7394370007310745,NA,2352
7,55,GOLDENGLUE,Mid,C9 ,CG ,0,11.97,5,1111.37,1065.52,45.8489990234375,0.5656016481906954,NA,1994
7,55,KEITH,AD Carry,C9 ,CG ,0,10.66,5,1111.37,1065.52,45.8489990234375,0.5656016481906954,NA,1994
7,55,KEITH,AD Carry,C9 ,OPT,1,12.22,16,1111.37,930.178,181.19537353515625,0.7394370007310745,NA,2352
7,55,LICORICE,Top,C9 ,OPT,1,12.02,16,1111.37,930.178,181.19537353515625,0.7394370007310745,NA,2352
7,55,LICORICE,Top,C9 ,CG ,0,19.04,5,1111.37,1065.52,45.8489990234375,0.5656016481906954,NA,1994
7,55,SVENSKEREN,Jungler,C9 ,CG ,0,10.37,5,1111.37,1065.52,45.8489990234375,0.5656016481906954,NA,1994
7,55,SVENSKEREN,Jungler,C9 ,OPT,1,11.23,16,1111.37,930.178,181.19537353515625,0.7394370007310745,NA,2352
7,55,ZEYZAL,Support,C9 ,CG ,0,9.79,5,1111.37,1065.52,45.8489990234375,0.5656016481906954,NA,1994
7,55,ZEYZAL,Support,C9 ,OPT,1,8.26,16,1111.37,930.178,181.19537353515625,0.7394370007310745,NA,2352
7,55,APOLLO,AD Carry,CG ,FOX,0,18.01,2,1065.52,1000.72,64.8089599609375,0.592200677457886,NA,1946
7,55,APOLLO,AD Carry,CG ,C9 ,1,21.27,15,1065.52,1111.37,-45.8489990234375,0.43439835180930464,NA,1994
7,55,FEBIVEN,Mid,CG ,C9 ,1,18.45,15,1065.52,1111.37,-45.8489990234375,0.43439835180930464,NA,1994
7,55,FEBIVEN,Mid,CG ,FOX,0,16.1,2,1065.52,1000.72,64.8089599609375,0.592200677457886,NA,1946
7,55,HAKUHO,Support,CG ,FOX,0,14.17,2,1065.52,1000.72,64.8089599609375,0.592200677457886,NA,1946
7,55,HAKUHO,Support,CG ,C9 ,1,19.22,15,1065.52,1111.37,-45.8489990234375,0.43439835180930464,NA,1994
7,55,LIRA,Jungler,CG ,C9 ,1,25.95,15,1065.52,1111.37,-45.8489990234375,0.43439835180930464,NA,1994
7,55,LIRA,Jungler,CG ,FOX,0,18.42,2,1065.52,1000.72,64.8089599609375,0.592200677457886,NA,1946
7,55,SOLO,Top,CG ,C9 ,1,23.62,15,1065.52,1111.37,-45.8489990234375,0.43439835180930464,NA,1994
7,55,SOLO,Top,CG ,FOX,0,19.86,2,1065.52,1000.72,64.8089599609375,0.592200677457886,NA,1946
7,55,BIOFROST,Support,CLG,TSM,0,7.21,7,1027.81,1194.53,-166.7205810546875,0.2769340965306007,NA,2552
7,55,BIOFROST,Support,CLG,100,1,15.46,21,1027.81,1098.24,-70.4296875,0.4000094168578694,NA,1785
7,55,DARSHAN,Top,CLG,TSM,0,12.68,7,1027.81,1194.53,-166.7205810546875,0.2769340965306007,NA,2552
7,55,DARSHAN,Top,CLG,100,1,10.92,21,1027.81,1098.24,-70.4296875,0.4000094168578694,NA,1785
7,55,HUHI,Mid,CLG,100,1,19.31,21,1027.81,1098.24,-70.4296875,0.4000094168578694,NA,1785
7,55,HUHI,Mid,CLG,TSM,0,12.31,7,1027.81,1194.53,-166.7205810546875,0.2769340965306007,NA,2552
7,55,REIGNOVER,Jungler,CLG,TSM,0,13.58,7,1027.81,1194.53,-166.7205810546875,0.2769340965306007,NA,2552
7,55,REIGNOVER,Jungler,CLG,100,1,15.73,21,1027.81,1098.24,-70.4296875,0.4000094168578694,NA,1785
7,55,STIXXAY,AD Carry,CLG,100,1,19.11,21,1027.81,1098.24,-70.4296875,0.4000094168578694,NA,1785
7,55,STIXXAY,AD Carry,CLG,TSM,0,15.04,7,1027.81,1194.53,-166.7205810546875,0.2769340965306007,NA,2552
7,55,FLAME,Top,FLY,FOX,0,12.78,2,937.62,1000.72,-63.09515380859375,0.41018397165494286,NA,1425
7,55,FLAME,Top,FLY,TSM,0,1.95,1,937.62,1194.53,-256.91351318359375,0.18559165067435238,NA,1496
7,55,KEANE,Mid,FLY,FOX,0,16.81,2,937.62,1000.72,-63.09515380859375,0.41018397165494286,NA,1425
7,55,KEANE,Mid,FLY,TSM,0,4.75,1,937.62,1194.53,-256.91351318359375,0.18559165067435238,NA,1496
7,55,KWON,Support,FLY,FOX,0,8.73,2,937.62,1000.72,-63.09515380859375,0.41018397165494286,NA,1425
7,55,KWON,Support,FLY,TSM,0,3.88,1,937.62,1194.53,-256.91351318359375,0.18559165067435238,NA,1496
7,55,SANTORIN,Jungler,FLY,FOX,0,14.08,2,937.62,1000.72,-63.09515380859375,0.41018397165494286,NA,1425
7,55,SANTORIN,Jungler,FLY,TSM,0,4.55,1,937.62,1194.53,-256.91351318359375,0.18559165067435238,NA,1496
7,55,WILDTURTLE,AD Carry,FLY,TSM,0,7.3,1,937.62,1194.53,-256.91351318359375,0.18559165067435238,NA,1496
7,55,WILDTURTLE,AD Carry,FLY,FOX,0,14.68,2,937.62,1000.72,-63.09515380859375,0.41018397165494286,NA,1425
7,55,BROXAH,Jungler,FNC,S04,1,9.51,12,1233.39,976.618,256.767333984375,0.8142811289079469,EU,1478
7,55,BROXAH,Jungler,FNC,MSF,0,1.31,0,1233.39,1018.41,214.9786376953125,0.7751314321439886,EU,1598
7,55,BWIPO,Top,FNC,S04,1,6.92,12,1233.39,976.618,256.767333984375,0.8142811289079469,EU,1478
7,55,CAPS,Mid,FNC,S04,1,15.98,12,1233.39,976.618,256.767333984375,0.8142811289079469,EU,1478
7,55,CAPS,Mid,FNC,MSF,0,4.53,0,1233.39,1018.41,214.9786376953125,0.7751314321439886,EU,1598
7,55,HYLISSANG,Support,FNC,MSF,0,1.13,0,1233.39,1018.41,214.9786376953125,0.7751314321439886,EU,1598
7,55,HYLISSANG,Support,FNC,S04,1,7.65,12,1233.39,976.618,256.767333984375,0.8142811289079469,EU,1478
7,55,REKKLES,AD Carry,FNC,MSF,0,4.99,0,1233.39,1018.41,214.9786376953125,0.7751314321439886,EU,1598
7,55,REKKLES,AD Carry,FNC,S04,1,6.77,12,1233.39,976.618,256.767333984375,0.8142811289079469,EU,1478
7,55,SOAZ,Top,FNC,MSF,0,6.02,0,1233.39,1018.41,214.9786376953125,0.7751314321439886,EU,1598
7,55,ADRIAN,Support,FOX,CG ,1,8.69,15,1000.72,1065.52,-64.8089599609375,0.4077993225421141,NA,1946
7,55,ADRIAN,Support,FOX,FLY,1,22.72,18,1000.72,937.62,63.09515380859375,0.5898160283450571,NA,1425
7,55,ALTEC,AD Carry,FOX,FLY,1,17.09,18,1000.72,937.62,63.09515380859375,0.5898160283450571,NA,1425
7,55,ALTEC,AD Carry,FOX,CG ,1,15.71,15,1000.72,1065.52,-64.8089599609375,0.4077993225421141,NA,1946
7,55,DARDOCH,Jungler,FOX,CG ,1,15.37,15,1000.72,1065.52,-64.8089599609375,0.4077993225421141,NA,1946
7,55,DARDOCH,Jungler,FOX,FLY,1,22.7,18,1000.72,937.62,63.09515380859375,0.5898160283450571,NA,1425
7,55,FENIX,Mid,FOX,CG ,1,17.82,15,1000.72,1065.52,-64.8089599609375,0.4077993225421141,NA,1946
7,55,FENIX,Mid,FOX,FLY,1,20.66,18,1000.72,937.62,63.09515380859375,0.5898160283450571,NA,1425
7,55,HUNI,Top,FOX,CG ,1,18.84,15,1000.72,1065.52,-64.8089599609375,0.4077993225421141,NA,1946
7,55,HUNI,Top,FOX,FLY,1,24.56,18,1000.72,937.62,63.09515380859375,0.5898160283450571,NA,1425
7,55,HJARNAN,AD Carry,G2 ,SPY,1,16.72,18,1195.26,1132.04,63.2193603515625,0.5899889970449008,EU,2014
7,55,HJARNAN,AD Carry,G2 ,ROC,1,20.6,17,1195.26,971.515,223.740234375,0.7838003965942698,EU,1414
7,55,JANKOS,Jungler,G2 ,ROC,1,22.45,17,1195.26,971.515,223.740234375,0.7838003965942698,EU,1414
7,55,JANKOS,Jungler,G2 ,SPY,1,22.26,18,1195.26,1132.04,63.2193603515625,0.5899889970449008,EU,2014
7,55,PERKZ,Mid,G2 ,SPY,1,31.11,18,1195.26,1132.04,63.2193603515625,0.5899889970449008,EU,2014
7,55,PERKZ,Mid,G2 ,ROC,1,16.04,17,1195.26,971.515,223.740234375,0.7838003965942698,EU,1414
7,55,WADID,Support,G2 ,ROC,1,22.66,17,1195.26,971.515,223.740234375,0.7838003965942698,EU,1414
7,55,WADID,Support,G2 ,SPY,1,8.05,18,1195.26,1132.04,63.2193603515625,0.5899889970449008,EU,2014
7,55,WUNDER,Top,G2 ,ROC,1,18.37,17,1195.26,971.515,223.740234375,0.7838003965942698,EU,1414
7,55,WUNDER,Top,G2 ,SPY,1,21.27,18,1195.26,1132.04,63.2193603515625,0.5899889970449008,EU,2014
7,55,CONTRACTZ,Jungler,GGS,OPT,0,6.03,6,909.73,930.178,-20.447509765625,0.47060759504675476,NA,2313
7,55,CONTRACTZ,Jungler,GGS,TL ,1,21.98,19,909.73,1019.59,-109.8568115234375,0.34696957124068567,NA,1315
7,55,DEFTLY,AD Carry,GGS,OPT,0,9.37,6,909.73,930.178,-20.447509765625,0.47060759504675476,NA,2313
7,55,DEFTLY,AD Carry,GGS,TL ,1,25.51,19,909.73,1019.59,-109.8568115234375,0.34696957124068567,NA,1315
7,55,LOURLO,Top,GGS,OPT,0,5.94,6,909.73,930.178,-20.447509765625,0.47060759504675476,NA,2313
7,55,LOURLO,Top,GGS,TL ,1,26.07,19,909.73,1019.59,-109.8568115234375,0.34696957124068567,NA,1315
7,55,MATT,Support,GGS,OPT,0,5.64,6,909.73,930.178,-20.447509765625,0.47060759504675476,NA,2313
7,55,MATT,Support,GGS,TL ,1,22.94,19,909.73,1019.59,-109.8568115234375,0.34696957124068567,NA,1315
7,55,MICKEY,Mid,GGS,TL ,1,24.61,19,909.73,1019.59,-109.8568115234375,0.34696957124068567,NA,1315
7,55,MICKEY,Mid,GGS,OPT,0,8.18,6,909.73,930.178,-20.447509765625,0.47060759504675476,NA,2313
7,55,BETSY,Mid,GIA,VIT,0,11.5,2,934.39,1025.12,-90.72998046875,0.3723183715062037,EU,1679
7,55,BETSY,Mid,GIA,H2K,1,16.99,22,934.39,1109.89,-175.4993896484375,0.2669298136072057,EU,2728
7,55,DJOKO,Jungler,GIA,H2K,1,4.72,22,934.39,1109.89,-175.4993896484375,0.2669298136072057,EU,2728
7,55,DJOKO,Jungler,GIA,VIT,0,6.56,2,934.39,1025.12,-90.72998046875,0.3723183715062037,EU,1679
7,55,RUIN,Top,GIA,H2K,1,12.77,22,934.39,1109.89,-175.4993896484375,0.2669298136072057,EU,2728
7,55,RUIN,Top,GIA,VIT,0,-0.16,2,934.39,1025.12,-90.72998046875,0.3723183715062037,EU,1679
7,55,SIRNUKESALOT,Support,GIA,VIT,0,4.78,2,934.39,1025.12,-90.72998046875,0.3723183715062037,EU,1679
7,55,SIRNUKESALOT,Support,GIA,H2K,1,6.78,22,934.39,1109.89,-175.4993896484375,0.2669298136072057,EU,2728
7,55,STEEELBACK,AD Carry,GIA,H2K,1,11.19,22,934.39,1109.89,-175.4993896484375,0.2669298136072057,EU,2728
7,55,STEEELBACK,AD Carry,GIA,VIT,0,10.71,2,934.39,1025.12,-90.72998046875,0.3723183715062037,EU,1679
7,55,PROMISQ,Support,H2K,GIA,0,16.33,7,1109.89,934.39,175.4993896484375,0.7330701863927943,EU,2728
7,55,PROMISQ,Support,H2K,ROC,0,-0.22,1,1109.89,971.515,138.374267578125,0.6892352199960262,EU,1661
7,55,SELFIE,Mid,H2K,ROC,0,4.59,1,1109.89,971.515,138.374267578125,0.6892352199960262,EU,1661
7,55,SELFIE,Mid,H2K,GIA,0,20.41,7,1109.89,934.39,175.4993896484375,0.7330701863927943,EU,2728
7,55,SHERIFF,AD Carry,H2K,ROC,0,2.91,1,1109.89,971.515,138.374267578125,0.6892352199960262,EU,1661
7,55,SHERIFF,AD Carry,H2K,GIA,0,18.86,7,1109.89,934.39,175.4993896484375,0.7330701863927943,EU,2728
7,55,SHOOK,Jungler,H2K,ROC,0,2.84,1,1109.89,971.515,138.374267578125,0.6892352199960262,EU,1661
7,55,SHOOK,Jungler,H2K,GIA,0,19.97,7,1109.89,934.39,175.4993896484375,0.7330701863927943,EU,2728
7,55,SMITTYJ,Top,H2K,GIA,0,17.51,7,1109.89,934.39,175.4993896484375,0.7330701863927943,EU,2728
7,55,SMITTYJ,Top,H2K,ROC,0,1.36,1,1109.89,971.515,138.374267578125,0.6892352199960262,EU,1661
7,55,ALPHARI,Top,MSF,UOL,1,24.14,18,1018.41,1047.54,-29.1282958984375,0.45817895068125153,EU,1380
7,55,ALPHARI,Top,MSF,FNC,1,13.0,18,1018.41,1233.39,-214.9786376953125,0.2248685678560114,EU,1598
7,55,HANS SAMA,AD Carry,MSF,FNC,1,25.57,18,1018.41,1233.39,-214.9786376953125,0.2248685678560114,EU,1598
7,55,HANS SAMA,AD Carry,MSF,UOL,1,40.12,18,1018.41,1047.54,-29.1282958984375,0.45817895068125153,EU,1380
7,55,MAXLORE,Jungler,MSF,UOL,1,47.32,18,1018.41,1047.54,-29.1282958984375,0.45817895068125153,EU,1380
7,55,MAXLORE,Jungler,MSF,FNC,1,12.37,18,1018.41,1233.39,-214.9786376953125,0.2248685678560114,EU,1598
7,55,MIKYX,Support,MSF,FNC,1,23.62,18,1018.41,1233.39,-214.9786376953125,0.2248685678560114,EU,1598
7,55,MIKYX,Support,MSF,UOL,1,22.63,18,1018.41,1047.54,-29.1282958984375,0.45817895068125153,EU,1380
7,55,SENCUX,Mid,MSF,FNC,1,22.55,18,1018.41,1233.39,-214.9786376953125,0.2248685678560114,EU,1598
7,55,SENCUX,Mid,MSF,UOL,1,40.87,18,1018.41,1047.54,-29.1282958984375,0.45817895068125153,EU,1380
7,55,AKAADIAN,Jungler,OPT,C9 ,0,8.91,6,930.178,1111.37,-181.19537353515625,0.2605629992689254,NA,2352
7,55,AKAADIAN,Jungler,OPT,GGS,1,10.21,15,930.178,909.73,20.447509765625,0.5293924049532451,NA,2313
7,55,ARROW,AD Carry,OPT,GGS,1,12.75,15,930.178,909.73,20.447509765625,0.5293924049532451,NA,2313
7,55,ARROW,AD Carry,OPT,C9 ,0,5.98,6,930.178,1111.37,-181.19537353515625,0.2605629992689254,NA,2352
7,55,BIG,Support,OPT,C9 ,0,6.14,6,930.178,1111.37,-181.19537353515625,0.2605629992689254,NA,2352
7,55,BIG,Support,OPT,GGS,1,5.59,15,930.178,909.73,20.447509765625,0.5293924049532451,NA,2313
7,55,DHOKLA,Top,OPT,C9 ,0,6.67,6,930.178,1111.37,-181.19537353515625,0.2605629992689254,NA,2352
