Split,Week,Player,Position,Team,Opponent,Result,Points,Region
1.0,1.0,DOUBLELIFT,AD Carry,CLG,DIG,1,28.57,NA
1.0,1.0,DOUBLELIFT,AD Carry,CLG,TIP,1,46.03,NA
1.0,1.0,APOLLO,AD Carry,TIP,T8 ,1,35.79,NA
1.0,1.0,APOLLO,AD Carry,TIP,CLG,0,23.29,NA
1.0,1.0,RUSH,Jungler,TIP,T8 ,1,34.17,NA
1.0,1.0,RUSH,Jungler,TIP,CLG,0,9.05,NA
1.0,1.0,PIGLET,AD Carry,TL ,TDK,1,32.92,NA
1.0,1.0,PIGLET,AD Carry,TL ,T8 ,1,31.67,NA
1.0,1.0,REKKLES,AD Carry,FNC,UOL,1,21.95,EU
1.0,1.0,REKKLES,AD Carry,FNC,SK ,1,39.35,EU
1.0,1.0,IMPACT,Top,TIP,T8 ,1,36.03,NA
1.0,1.0,IMPACT,Top,TIP,CLG,0,15.02,NA
1.0,1.0,FENIX,Mid,TL ,TDK,1,25.5,NA
1.0,1.0,FENIX,Mid,TL ,T8 ,1,36.55,NA
1.0,1.0,FEBIVEN,Mid,FNC,UOL,1,20.18,EU
1.0,1.0,FEBIVEN,Mid,FNC,SK ,1,38.54,EU
1.0,1.0,HUNI,Top,FNC,UOL,1,19.85,EU
1.0,1.0,HUNI,Top,FNC,SK ,1,15.29,EU
1.0,1.0,HJARNAN,AD Carry,H2K,ROC,1,27.73,EU
1.0,1.0,HJARNAN,AD Carry,H2K,OG ,0,11.02,EU
1.0,1.0,ZVEN,AD Carry,OG ,GIA,1,26.09,EU
1.0,1.0,ZVEN,AD Carry,OG ,H2K,1,28.33,EU
1.0,1.0,QUAS,Top,TL ,TDK,1,36.56,NA
1.0,1.0,QUAS,Top,TL ,T8 ,1,32.45,NA
1.0,1.0,BJERGSEN,Mid,TSM,C9 ,0,17.18,NA
1.0,1.0,BJERGSEN,Mid,TSM,NME,1,24.0,NA
1.0,1.0,YELLOWSTAR,Support,FNC,UOL,1,23.87,EU
1.0,1.0,YELLOWSTAR,Support,FNC,SK ,1,25.48,EU
1.0,1.0,ADRIAN,Support,TIP,T8 ,1,35.48,NA
1.0,1.0,ADRIAN,Support,TIP,CLG,0,14.37,NA
1.0,1.0,ALTEC,AD Carry,GV ,NME,0,37.74,NA
1.0,1.0,ALTEC,AD Carry,GV ,TDK,1,21.24,NA
1.0,1.0,POBELTER,Mid,CLG,DIG,1,27.42,NA
1.0,1.0,POBELTER,Mid,CLG,TIP,1,38.02,NA
1.0,1.0,RYU,Mid,H2K,ROC,1,23.03,EU
1.0,1.0,RYU,Mid,H2K,OG ,0,3.71,EU
1.0,1.0,APHROMOO,Support,CLG,DIG,1,14.24,NA
1.0,1.0,APHROMOO,Support,CLG,TIP,1,40.89,NA
1.0,1.0,IWDOMINATE,Jungler,TL ,TDK,1,30.34,NA
1.0,1.0,IWDOMINATE,Jungler,TL ,T8 ,1,29.16,NA
1.0,1.0,HAUNTZER,Top,GV ,NME,0,24.34,NA
1.0,1.0,HAUNTZER,Top,GV ,TDK,1,25.66,NA
1.0,1.0,DARSHAN,Top,CLG,DIG,1,25.01,NA
1.0,1.0,DARSHAN,Top,CLG,TIP,1,34.48,NA
1.0,1.0,XPEKE,Mid,OG ,GIA,1,23.44,EU
1.0,1.0,XPEKE,Mid,OG ,H2K,1,21.37,EU
1.0,1.0,XIAOWEIXIAO,Mid,TIP,T8 ,1,24.67,NA
1.0,1.0,XIAOWEIXIAO,Mid,TIP,CLG,0,16.5,NA
1.0,1.0,REIGNOVER,Jungler,FNC,UOL,1,26.45,EU
1.0,1.0,REIGNOVER,Jungler,FNC,SK ,1,32.15,EU
1.0,1.0,KEANE,Mid,GV ,NME,0,26.28,NA
1.0,1.0,KEANE,Mid,GV ,TDK,1,16.8,NA
1.0,1.0,XPECIAL,Support,TL ,TDK,1,20.91,NA
1.0,1.0,XPECIAL,Support,TL ,T8 ,1,27.85,NA
1.0,1.0,SOAZ,Top,OG ,GIA,1,24.49,EU
1.0,1.0,SOAZ,Top,OG ,H2K,1,23.09,EU
1.0,1.0,FOX,Mid,SK ,CW ,0,4.14,EU
1.0,1.0,FOX,Mid,SK ,FNC,0,23.38,EU
1.0,1.0,SNEAKY,AD Carry,C9 ,TSM,1,29.18,NA
1.0,1.0,SNEAKY,AD Carry,C9 ,DIG,0,9.26,NA
