Split,Week,Team,Opponent,Result,Points
1.0,1.0,TSM, C9,0.0,12.0
1.0,1.0,FNC,UOL,1.0,18.0
1.0,1.0,H2K,ROC,1.0,20.0
1.0,1.0,OG ,H2K,1.0,21.0
1.0,1.0,TDK, GV,0.0,9.0
1.0,1.0,TSM,NME,1.0,16.0
1.0,1.0,FNC, SK,1.0,19.0
1.0,1.0,H2K, OG,0.0,2.0
1.0,1.0,TIP, T8,1.0,20.0
1.0,1.0,C9 ,TSM,1.0,14.0
1.0,1.0,CW , SK,1.0,18.0
1.0,1.0,TIP,CLG,0.0,9.0
1.0,1.0,C9 ,DIG,0.0,0.0
1.0,1.0,CW ,GIA,0.0,6.0
1.0,1.0,NME, GV,1.0,13.0
1.0,1.0,CLG,DIG,1.0,18.0
1.0,1.0,DIG,CLG,0.0,1.0
1.0,1.0,EL ,GMB,1.0,23.0
1.0,1.0,GMB, EL,0.0,5.0
1.0,1.0,NME,TSM,0.0,4.0
1.0,1.0,SK , CW,0.0,4.0
1.0,1.0,CLG,TIP,1.0,17.0
1.0,1.0,DIG, C9,1.0,23.0
1.0,1.0,EL ,UOL,0.0,6.0
1.0,1.0,GMB,ROC,0.0,8.0
1.0,1.0,ROC,H2K,0.0,3.0
1.0,1.0,SK ,FNC,0.0,12.0
1.0,1.0,T8 ,TIP,0.0,3.0
1.0,1.0,TL ,TDK,1.0,23.0
1.0,1.0,UOL,FNC,0.0,5.0
1.0,1.0,GIA, OG,0.0,5.0
1.0,1.0,GV ,NME,0.0,10.0
1.0,1.0,ROC,GMB,1.0,22.0
1.0,1.0,T8 , TL,0.0,9.0
1.0,1.0,TL , T8,1.0,19.0
1.0,1.0,UOL, EL,1.0,17.0
1.0,1.0,GIA, CW,1.0,17.0
1.0,1.0,GV ,TDK,1.0,16.0
1.0,1.0,OG ,GIA,1.0,19.0
1.0,1.0,TDK, TL,0.0,6.0
1.0,2.0,UOL, CW,1.0,22.0
1.0,2.0,GIA, EL,1.0,21.0
1.0,2.0,GV , C9,1.0,17.0
1.0,2.0,ROC,UOL,0.0,18.0
1.0,2.0,T8 ,DIG,0.0,4.0
1.0,2.0,TL , GV,0.0,3.0
1.0,2.0,UOL,ROC,1.0,13.0
1.0,2.0,GIA, SK,1.0,17.0
1.0,2.0,GV , TL,1.0,19.0
1.0,2.0,OG , SK,1.0,22.0
1.0,2.0,TDK,DIG,0.0,11.0
1.0,2.0,TSM,TIP,1.0,23.0
1.0,2.0,FNC,ROC,1.0,20.0
1.0,2.0,H2K,GMB,1.0,17.0
1.0,2.0,OG , CW,1.0,22.0
1.0,2.0,TDK,NME,0.0,9.0
1.0,2.0,TSM,CLG,1.0,20.0
1.0,2.0,FNC,GMB,1.0,18.0
1.0,2.0,H2K, EL,1.0,20.0
1.0,2.0,TIP,TSM,0.0,5.0
1.0,2.0,C9 , GV,0.0,4.0
1.0,2.0,CW ,UOL,0.0,2.0
1.0,2.0,TIP, C9,1.0,18.0
1.0,2.0,C9 ,TIP,0.0,7.0
1.0,2.0,CW , OG,0.0,3.0
1.0,2.0,NME, TL,0.0,1.0
1.0,2.0,CLG, T8,1.0,21.0
1.0,2.0,DIG,TDK,1.0,21.0
1.0,2.0,EL ,GIA,0.0,3.0
1.0,2.0,GMB,H2K,0.0,4.0
1.0,2.0,NME,TDK,1.0,21.0
1.0,2.0,SK , OG,0.0,6.0
1.0,2.0,CLG,TSM,0.0,8.0
1.0,2.0,DIG, T8,1.0,22.0
1.0,2.0,EL ,H2K,0.0,2.0
1.0,2.0,GMB,FNC,0.0,8.0
1.0,2.0,ROC,FNC,0.0,8.0
1.0,2.0,SK ,GIA,0.0,5.0
1.0,2.0,T8 ,CLG,0.0,4.0
1.0,2.0,TL ,NME,1.0,20.0
1.0,3.0,CLG, GV,1.0,18.0
1.0,3.0,DIG,TSM,1.0,17.0
1.0,3.0,EL ,FNC,0.0,5.0
1.0,3.0,GMB, CW,1.0,23.0
1.0,3.0,NME,CLG,0.0,11.0
1.0,3.0,SK ,H2K,0.0,10.0
1.0,3.0,CLG,NME,1.0,23.0
1.0,3.0,DIG, GV,0.0,4.0
1.0,3.0,EL , CW,0.0,3.0
1.0,3.0,GMB, SK,1.0,20.0
1.0,3.0,ROC,GIA,0.0,6.0
1.0,3.0,SK ,GMB,0.0,2.0
1.0,3.0,T8 ,NME,1.0,18.0
1.0,3.0,TL , C9,1.0,18.0
1.0,3.0,UOL, OG,0.0,5.0
1.0,3.0,GIA,ROC,1.0,20.0
1.0,3.0,GV ,CLG,0.0,2.0
1.0,3.0,ROC, OG,1.0,18.0
1.0,3.0,T8 , C9,0.0,6.0
1.0,3.0,TL ,TIP,1.0,14.0
1.0,3.0,UOL,H2K,0.0,5.0
1.0,3.0,GIA,FNC,0.0,2.0
1.0,3.0,GV ,DIG,1.0,18.0
1.0,3.0,OG ,UOL,1.0,18.0
1.0,3.0,TDK,TIP,0.0,1.0
1.0,3.0,TSM,DIG,0.0,9.0
1.0,3.0,FNC, EL,1.0,18.0
1.0,3.0,H2K, SK,1.0,13.0
1.0,3.0,OG ,ROC,0.0,3.0
1.0,3.0,TDK,TSM,0.0,6.0
1.0,3.0,TSM,TDK,1.0,20.0
1.0,3.0,FNC,GIA,1.0,22.0
1.0,3.0,H2K,UOL,1.0,18.0
1.0,3.0,TIP,TDK,1.0,22.0
1.0,3.0,C9 , TL,0.0,9.0
1.0,3.0,CW ,GMB,0.0,5.0
1.0,3.0,TIP, TL,0.0,7.0
1.0,3.0,C9 , T8,1.0,14.0
1.0,3.0,CW , EL,1.0,20.0
1.0,3.0,NME, T8,0.0,7.0
1.0,4.0,C9 ,NME,0.0,3.0
1.0,4.0,CW ,H2K,0.0,2.0
1.0,4.0,TIP,NME,1.0,19.0
1.0,4.0,C9 ,CLG,0.0,5.0
1.0,4.0,CW ,FNC,0.0,1.0
1.0,4.0,NME, C9,1.0,19.0
1.0,4.0,CLG,TDK,1.0,12.0
1.0,4.0,DIG,TIP,1.0,17.0
1.0,4.0,EL ,ROC,1.0,16.0
1.0,4.0,GMB,GIA,1.0,17.0
1.0,4.0,NME,TIP,0.0,5.0
1.0,4.0,SK ,UOL,1.0,14.0
1.0,4.0,CLG, C9,1.0,22.0
1.0,4.0,DIG, TL,1.0,20.0
1.0,4.0,EL , OG,0.0,9.0
1.0,4.0,GMB,UOL,0.0,4.0
1.0,4.0,ROC, EL,0.0,6.0
1.0,4.0,SK ,ROC,1.0,18.0
1.0,4.0,T8 , GV,0.0,4.0
1.0,4.0,TL ,TSM,0.0,12.0
1.0,4.0,UOL, SK,0.0,13.0
1.0,4.0,GIA,GMB,0.0,6.0
1.0,4.0,GV , T8,1.0,18.0
1.0,4.0,ROC, SK,0.0,4.0
1.0,4.0,T8 ,TDK,1.0,23.0
1.0,4.0,TL ,DIG,0.0,14.0
1.0,4.0,UOL,GMB,1.0,22.0
1.0,4.0,GIA,H2K,0.0,2.0
1.0,4.0,GV ,TSM,0.0,10.0
1.0,4.0,OG ,FNC,0.0,6.0
1.0,4.0,TDK,CLG,0.0,11.0
1.0,4.0,TSM, TL,1.0,11.0
1.0,4.0,FNC, OG,1.0,22.0
1.0,4.0,H2K, CW,1.0,21.0
1.0,4.0,OG , EL,1.0,24.0
1.0,4.0,TDK, T8,0.0,8.0
1.0,4.0,TSM, GV,1.0,21.0
1.0,4.0,FNC, CW,1.0,20.0
1.0,4.0,H2K,GIA,1.0,18.0
1.0,4.0,TIP,DIG,0.0,9.0
1.0,5.0,TSM, T8,1.0,17.0
1.0,5.0,FNC,H2K,1.0,21.0
1.0,5.0,H2K,FNC,0.0,4.0
1.0,5.0,OG , CW,1.0,17.0
1.0,5.0,TDK,DIG,1.0,15.0
1.0,5.0,TSM,CLG,1.0,19.0
1.0,5.0,FNC,GMB,1.0,19.0
1.0,5.0,H2K, SK,0.0,5.0
1.0,5.0,TIP, GV,0.0,12.0
1.0,5.0,C9 ,TDK,1.0,18.0
1.0,5.0,CW ,ROC,0.0,4.0
1.0,5.0,TIP, C9,1.0,19.0
1.0,5.0,C9 ,TIP,0.0,6.0
1.0,5.0,CW , OG,0.0,5.0
1.0,5.0,NME,DIG,0.0,2.0
1.0,5.0,CLG, TL,0.0,3.0
1.0,5.0,DIG,NME,1.0,19.0
1.0,5.0,EL , SK,1.0,20.0
1.0,5.0,GMB, OG,0.0,6.0
1.0,5.0,NME, T8,0.0,16.0
1.0,5.0,SK , EL,0.0,16.0
1.0,5.0,CLG,TSM,0.0,5.0
1.0,5.0,DIG,TDK,0.0,8.0
1.0,5.0,EL ,GIA,1.0,20.0
1.0,5.0,GMB,FNC,0.0,9.0
1.0,5.0,ROC, CW,1.0,20.0
1.0,5.0,SK ,H2K,1.0,22.0
1.0,5.0,T8 ,TSM,0.0,9.0
1.0,5.0,TL ,CLG,1.0,19.0
1.0,5.0,UOL,GIA,0.0,13.0
1.0,5.0,GIA,UOL,1.0,12.0
1.0,5.0,GV ,TIP,1.0,12.0
1.0,5.0,ROC,UOL,1.0,21.0
1.0,5.0,T8 ,NME,1.0,16.0
1.0,5.0,TL , GV,0.0,8.0
1.0,5.0,UOL,ROC,0.0,5.0
1.0,5.0,GIA, EL,0.0,4.0
1.0,5.0,GV , TL,1.0,18.0
1.0,5.0,OG ,GMB,1.0,20.0
1.0,5.0,TDK, C9,0.0,3.0
1.0,6.0,UOL, OG,1.0,20.0
1.0,6.0,GIA,FNC,0.0,15.0
1.0,6.0,GV ,CLG,1.0,15.0
1.0,6.0,ROC,GMB,0.0,8.0
1.0,6.0,T8 , C9,1.0,20.0
1.0,6.0,TL ,DIG,1.0,16.0
1.0,6.0,UOL,H2K,0.0,3.0
1.0,6.0,GIA, SK,1.0,17.0
1.0,6.0,GV ,TSM,1.0,22.0
1.0,6.0,OG ,UOL,0.0,12.0
1.0,6.0,TDK,TSM,0.0,9.0
1.0,6.0,TSM,TDK,1.0,19.0
1.0,6.0,FNC,GIA,1.0,19.0
1.0,6.0,H2K, EL,1.0,17.0
1.0,6.0,OG , EL,1.0,17.0
1.0,6.0,TDK,NME,0.0,12.0
1.0,6.0,TSM, GV,0.0,3.0
1.0,6.0,FNC, CW,1.0,20.0
1.0,6.0,H2K,UOL,1.0,22.0
1.0,6.0,TIP,NME,1.0,17.0
1.0,6.0,C9 , TL,0.0,9.0
1.0,6.0,CW ,GMB,0.0,8.0
1.0,6.0,TIP,CLG,1.0,15.0
1.0,6.0,C9 , T8,0.0,6.0
1.0,6.0,CW ,FNC,0.0,3.0
1.0,6.0,NME,TIP,0.0,2.0
1.0,6.0,CLG, GV,0.0,6.0
1.0,6.0,DIG, T8,1.0,15.0
1.0,6.0,EL ,H2K,0.0,8.0
1.0,6.0,GMB, CW,1.0,17.0
1.0,6.0,NME,TDK,1.0,17.0
1.0,6.0,SK ,ROC,0.0,22.0
1.0,6.0,CLG,TIP,0.0,15.0
1.0,6.0,DIG, TL,0.0,2.0
1.0,6.0,EL , OG,0.0,2.0
1.0,6.0,GMB,ROC,1.0,18.0
1.0,6.0,ROC, SK,1.0,11.0
1.0,6.0,SK ,GIA,0.0,15.0
1.0,6.0,T8 ,DIG,0.0,5.0
1.0,6.0,TL , C9,1.0,20.0
1.0,7.0,CLG,NME,1.0,21.0
1.0,7.0,DIG,TIP,0.0,4.0
1.0,7.0,EL ,ROC,1.0,18.0
1.0,7.0,GMB, SK,1.0,21.0
1.0,7.0,NME, GV,0.0,3.0
1.0,7.0,SK ,GMB,0.0,2.0
1.0,7.0,CLG,TDK,1.0,17.0
1.0,7.0,DIG, C9,0.0,1.0
1.0,7.0,EL ,UOL,0.0,8.0
1.0,7.0,GMB,GIA,0.0,3.0
1.0,7.0,ROC, EL,0.0,10.0
1.0,7.0,SK , CW,1.0,17.0
